property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
apartment,RR,Norte,Boa Vista,Zona Leste,estimated_regional_proxy,5300.0,156,4,5,11,1,6.8,1138.25,39,21.48
house,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,257,4,5,0,2,7.9,1198.28,5,4.9
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,103,2,2,16,1,8.6,1181.16,25,7.56
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,42,1,1,3,0,7.8,466.9,6,4.44
apartment,AP,Norte,Macapá,Zona Norte,estimated_regional_proxy,5400.0,210,3,3,27,1,6.7,1533.86,4,9.45
apartment,MG,Sudeste,Belo Horizonte,Centro,FipeZAP,10663.0,214,4,5,32,0,7.5,1231.28,17,1.31
house,MA,Nordeste,São Luís,Zona Norte,FipeZAP,8627.0,76,2,1,0,1,7.2,350.17,32,13.72
house,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,120,3,4,0,4,4.6,660.59,1,11.8
apartment,ES,Sudeste,Vitória,Centro,FipeZAP,14818.0,138,3,4,13,3,8.2,1157.95,14,3.73
apartment,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,170,3,3,23,2,6.9,1666.85,26,23.69
apartment,TO,Norte,Palmas,Centro,estimated_regional_proxy,5900.0,44,1,2,34,1,9.3,838.15,21,2.01
apartment,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,57,3,4,27,1,8.7,900.48,6,2.41
house,PI,Nordeste,Teresina,Zona Oeste,FipeZAP,5857.0,104,3,2,0,3,6.0,583.58,11,5.35
apartment,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,100,3,2,28,2,7.1,880.83,28,5.39
house,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,309,4,4,0,3,8.7,1529.74,30,10.04
house,MT,Centro-Oeste,Cuiabá,Zona Norte,FipeZAP,6931.0,124,4,3,0,3,6.6,455.57,1,17.4
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,196,3,3,4,2,8.0,1954.84,0,5.99
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,146,4,3,10,1,5.7,790.7,18,9.18
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,142,4,3,15,3,9.1,2212.96,38,10.94
apartment,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,98,3,4,23,0,5.9,1067.99,28,12.65
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,179,4,5,13,2,9.0,1308.39,36,3.47
house,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,135,3,2,0,2,8.4,610.44,18,9.8
apartment,BA,Nordeste,Salvador,Região Comercial,FipeZAP,8385.0,144,5,5,33,0,6.8,1250.95,39,2.39
house,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,318,3,2,0,1,5.4,928.07,0,26.33
apartment,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,65,2,1,6,2,4.5,568.7,12,14.94
apartment,GO,Centro-Oeste,Goiânia,Área Universitária,FipeZAP,8226.0,60,2,1,12,2,8.2,965.79,15,3.44
apartment,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,212,4,5,28,0,8.7,2198.24,4,12.67
apartment,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,96,2,3,17,1,7.3,777.16,34,18.38
apartment,SE,Nordeste,Aracaju,Zona Norte,FipeZAP,5529.0,169,4,4,22,2,5.8,2302.1,37,15.51
apartment,SE,Nordeste,Aracaju,Centro,FipeZAP,5529.0,87,2,2,5,3,7.2,1165.77,23,2.03
house,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,240,4,5,0,2,9.4,1441.93,22,6.21
house,MG,Sudeste,Belo Horizonte,Região Comercial,FipeZAP,10663.0,103,3,4,0,3,8.1,518.0,15,5.79
house,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,282,5,5,0,1,8.6,1563.21,28,1.97
apartment,MS,Centro-Oeste,Campo Grande,Zona Oeste,FipeZAP,6839.0,158,3,3,24,2,6.2,2218.94,36,15.67
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,218,4,3,25,1,8.1,2858.93,16,15.47
house,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,139,3,3,0,1,9.9,505.08,32,2.62
apartment,DF,Centro-Oeste,Brasília,Área Universitária,FipeZAP,10090.0,49,2,1,35,1,7.1,844.88,15,2.19
apartment,RJ,Sudeste,Rio de Janeiro,Região Periférica,FipeZAP,10939.0,188,3,2,27,1,5.8,1883.8,39,22.11
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,193,5,5,34,0,5.9,1831.85,27,16.29
apartment,RR,Norte,Boa Vista,Região Residencial,estimated_regional_proxy,5300.0,164,4,5,8,1,8.8,2167.33,4,15.64
apartment,AL,Nordeste,Maceió,Área Nobre,FipeZAP,9908.0,46,2,1,1,1,8.5,489.69,35,1.51
house,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,230,3,4,0,0,6.6,450.99,19,3.04
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,142,4,3,0,1,7.9,362.56,18,9.72
house,MT,Centro-Oeste,Cuiabá,Região Comercial,FipeZAP,6931.0,84,3,3,0,1,8.2,441.46,18,1.23
apartment,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,145,3,4,10,2,8.1,2181.65,34,3.72
apartment,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,97,4,3,2,1,7.2,1144.86,23,9.43
apartment,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,74,3,3,6,2,7.7,763.91,27,6.52
house,RO,Norte,Porto Velho,Centro,estimated_regional_proxy,5600.0,152,3,2,0,4,8.0,617.54,9,1.29
apartment,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,194,3,4,3,2,6.9,1387.67,21,8.68
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,157,3,4,14,3,8.2,1578.78,9,9.98
apartment,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,48,1,1,9,2,6.1,555.09,23,19.39
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,148,4,5,26,2,9.0,1888.77,4,3.34
apartment,PA,Norte,Belém,Centro,FipeZAP,8882.0,62,2,2,8,1,7.9,719.31,40,0.5
apartment,RJ,Sudeste,Rio de Janeiro,Centro,FipeZAP,10939.0,199,3,2,0,1,7.5,2523.36,25,3.11
apartment,GO,Centro-Oeste,Goiânia,Região Residencial,FipeZAP,8226.0,165,3,4,19,1,8.2,1516.63,24,15.38
house,RN,Nordeste,Natal,Região Periférica,FipeZAP,6334.0,62,2,3,0,1,4.3,133.24,15,15.32
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,275,3,4,0,1,7.0,815.79,24,9.14
house,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,124,4,5,0,2,7.9,687.44,39,15.91
apartment,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,113,2,1,9,0,6.2,1281.58,28,7.42
apartment,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,63,1,2,27,1,8.9,703.44,38,7.57
apartment,ES,Sudeste,Vitória,Zona Sul,FipeZAP,14818.0,148,3,2,22,0,9.6,2189.46,4,10.94
apartment,GO,Centro-Oeste,Goiânia,Região Periférica,FipeZAP,8226.0,141,5,4,10,1,5.7,1094.82,0,15.0
apartment,AM,Norte,Manaus,Zona Norte,FipeZAP,7513.0,199,4,3,17,0,5.8,1307.4,30,14.12
house,DF,Centro-Oeste,Brasília,Área Universitária,FipeZAP,10090.0,157,3,2,0,3,8.3,626.42,24,3.18
house,SP,Sudeste,São Paulo,Zona Sul,FipeZAP,12019.0,181,4,3,0,3,9.4,753.28,19,4.82
apartment,SP,Sudeste,São Paulo,Zona Leste,FipeZAP,12019.0,201,4,5,6,1,7.4,1238.1,9,15.42
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,30,2,2,11,1,9.8,525.92,4,11.29
apartment,ES,Sudeste,Vitória,Área Universitária,FipeZAP,14818.0,66,3,3,33,3,8.0,1076.49,23,2.97
house,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,262,4,5,0,1,6.5,500.94,23,15.36
house,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,152,3,2,0,3,7.3,512.51,16,9.01
apartment,CE,Nordeste,Fortaleza,Região Residencial,FipeZAP,9350.0,193,4,4,35,3,6.6,2237.51,35,12.54
apartment,MG,Sudeste,Belo Horizonte,Zona Sul,FipeZAP,10663.0,89,2,3,26,1,9.6,795.65,1,9.0
apartment,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,163,4,5,32,1,7.7,1381.99,5,3.73
apartment,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,136,3,3,31,0,5.3,934.54,32,18.95
apartment,RS,Sul,Porto Alegre,Zona Norte,FipeZAP,7579.0,115,3,4,27,1,7.4,684.66,17,16.78
apartment,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,43,1,1,32,1,7.6,885.28,26,6.41
apartment,RS,Sul,Porto Alegre,Região Comercial,FipeZAP,7579.0,217,4,4,27,3,8.7,1591.2,21,1.25
apartment,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,173,4,5,34,2,9.8,2331.02,34,4.63
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,132,4,3,2,2,8.6,1848.98,14,6.52
apartment,SE,Nordeste,Aracaju,Área Nobre,FipeZAP,5529.0,49,3,2,31,1,8.5,628.95,14,6.15
apartment,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,210,4,4,30,2,9.1,2614.56,34,5.79
apartment,ES,Sudeste,Vitória,Área Universitária,FipeZAP,14818.0,123,2,1,25,3,8.2,1275.73,13,8.36
apartment,CE,Nordeste,Fortaleza,Região Residencial,FipeZAP,9350.0,153,3,3,19,0,8.6,1209.69,8,12.75
apartment,PE,Nordeste,Recife,Área Nobre,FipeZAP,8615.0,178,4,4,26,1,9.5,3174.51,27,6.12
apartment,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,216,5,5,17,1,7.5,1492.41,33,18.64
apartment,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,139,4,5,18,1,6.7,2017.99,26,6.47
apartment,TO,Norte,Palmas,Região Comercial,estimated_regional_proxy,5900.0,156,4,5,22,1,6.8,1025.87,15,7.05
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,185,3,2,0,0,6.8,574.05,7,5.74
apartment,ES,Sudeste,Vitória,Zona Oeste,FipeZAP,14818.0,58,1,2,24,0,6.1,803.26,15,7.2
apartment,RJ,Sudeste,Rio de Janeiro,Área Universitária,FipeZAP,10939.0,80,3,3,7,1,6.6,645.87,27,8.04
apartment,MS,Centro-Oeste,Campo Grande,Região Comercial,FipeZAP,6839.0,100,2,1,19,0,7.9,652.87,7,2.88
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,163,4,5,25,1,6.8,1762.75,20,11.97
house,PE,Nordeste,Recife,Zona Sul,FipeZAP,8615.0,154,3,4,0,0,7.9,713.61,7,2.36
house,MT,Centro-Oeste,Cuiabá,Zona Leste,FipeZAP,6931.0,229,5,5,0,3,6.6,790.82,12,11.29
apartment,PR,Sul,Curitiba,Zona Norte,FipeZAP,11694.0,195,5,4,15,2,7.2,2001.32,16,17.07
apartment,RS,Sul,Porto Alegre,Centro,FipeZAP,7579.0,110,3,2,2,0,9.0,639.43,12,2.34
house,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,162,4,3,0,2,5.6,578.95,0,24.23
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,94,2,2,33,1,8.3,629.41,0,15.09
apartment,GO,Centro-Oeste,Goiânia,Zona Oeste,FipeZAP,8226.0,163,5,5,29,1,6.2,1093.46,26,16.29
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,209,5,5,0,1,5.9,646.02,31,18.93
apartment,GO,Centro-Oeste,Goiânia,Região Comercial,FipeZAP,8226.0,53,2,1,14,1,6.9,825.65,11,6.78
apartment,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,150,4,4,24,0,8.4,1726.97,27,11.81
house,RJ,Sudeste,Rio de Janeiro,Zona Leste,FipeZAP,10939.0,252,5,5,0,0,6.4,783.19,30,14.17
apartment,DF,Centro-Oeste,Brasília,Região Residencial,FipeZAP,10090.0,47,3,2,3,1,6.3,485.96,21,13.97
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,69,2,3,6,1,8.6,760.5,25,1.0
apartment,RJ,Sudeste,Rio de Janeiro,Zona Norte,FipeZAP,10939.0,80,2,1,19,1,7.3,638.19,39,12.19
apartment,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,92,3,3,5,0,9.7,836.37,18,6.97
house,RS,Sul,Porto Alegre,Zona Sul,FipeZAP,7579.0,117,3,2,0,2,8.6,351.66,27,11.72
apartment,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,125,3,2,4,3,6.4,942.92,5,13.97
apartment,AM,Norte,Manaus,Área Universitária,FipeZAP,7513.0,128,3,2,16,1,8.7,1149.08,4,4.25
apartment,AC,Norte,Rio Branco,Zona Oeste,estimated_regional_proxy,5200.0,119,3,4,4,0,6.2,940.53,25,17.87
apartment,RR,Norte,Boa Vista,Região Periférica,estimated_regional_proxy,5300.0,214,3,4,0,3,5.8,1293.5,6,12.67
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,46,2,1,28,1,6.8,471.0,9,15.2
apartment,AL,Nordeste,Maceió,Área Nobre,FipeZAP,9908.0,81,3,2,17,2,9.9,1012.76,38,3.98
apartment,PI,Nordeste,Teresina,Região Residencial,FipeZAP,5857.0,102,3,4,14,1,7.7,932.3,10,6.48
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,99,2,1,35,2,7.9,933.58,0,4.86
apartment,SE,Nordeste,Aracaju,Zona Sul,FipeZAP,5529.0,185,4,3,20,0,8.5,2782.81,24,3.99
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,147,3,4,4,1,7.8,1362.77,28,9.69
apartment,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,82,4,5,15,2,7.1,1030.01,9,20.51
apartment,SE,Nordeste,Aracaju,Região Comercial,FipeZAP,5529.0,92,3,2,26,1,7.2,1083.66,16,5.97
apartment,AL,Nordeste,Maceió,Zona Oeste,FipeZAP,9908.0,115,2,1,5,1,5.8,1084.72,14,12.61
apartment,PE,Nordeste,Recife,Zona Norte,FipeZAP,8615.0,56,1,1,28,2,6.6,828.25,34,13.21
apartment,RR,Norte,Boa Vista,Zona Oeste,estimated_regional_proxy,5300.0,216,5,4,28,2,7.1,2366.84,10,15.79
apartment,PB,Nordeste,João Pessoa,Área Nobre,FipeZAP,8081.0,126,2,2,22,1,9.2,2475.99,3,2.23
house,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,112,4,4,0,2,6.8,427.57,10,12.38
apartment,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,185,3,4,28,1,6.5,2441.43,7,19.45
house,AP,Norte,Macapá,Região Comercial,estimated_regional_proxy,5400.0,289,5,5,0,1,7.6,1441.06,12,4.8
apartment,MA,Nordeste,São Luís,Zona Leste,FipeZAP,8627.0,176,4,3,13,1,6.2,891.01,40,8.42
apartment,RR,Norte,Boa Vista,Zona Norte,estimated_regional_proxy,5300.0,39,1,1,0,0,6.9,228.44,39,14.76
apartment,AC,Norte,Rio Branco,Zona Norte,estimated_regional_proxy,5200.0,53,2,1,17,1,7.2,434.38,37,17.05
house,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,68,2,1,0,4,5.0,423.54,20,22.93
apartment,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,163,4,4,23,1,6.1,1895.96,16,11.65
house,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,300,5,4,0,2,8.2,732.0,20,10.58
house,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,88,2,3,0,2,6.1,412.98,21,19.2
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,61,2,2,27,1,7.9,1018.42,23,0.83
apartment,RS,Sul,Porto Alegre,Região Residencial,FipeZAP,7579.0,55,2,3,19,1,8.3,845.07,13,14.92
apartment,CE,Nordeste,Fortaleza,Zona Oeste,FipeZAP,9350.0,109,3,3,28,1,6.7,838.73,20,11.25
house,AP,Norte,Macapá,Região Residencial,estimated_regional_proxy,5400.0,286,5,5,0,1,8.2,936.03,37,5.48
apartment,RJ,Sudeste,Rio de Janeiro,Região Comercial,FipeZAP,10939.0,89,3,2,33,1,8.5,1195.05,39,4.6
apartment,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,126,2,3,17,0,8.6,1452.97,16,2.64
apartment,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,183,4,3,23,1,7.3,1752.33,24,5.37
apartment,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,131,2,1,32,1,9.3,1641.05,27,5.69
house,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,81,3,4,0,2,7.9,386.98,19,17.13
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,207,3,3,33,2,8.0,2525.96,34,13.05
apartment,PR,Sul,Curitiba,Região Residencial,FipeZAP,11694.0,113,4,3,12,1,6.4,769.62,26,15.01
apartment,MS,Centro-Oeste,Campo Grande,Zona Leste,FipeZAP,6839.0,43,1,1,4,2,5.5,611.57,17,21.72
house,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,292,4,4,0,2,8.0,957.16,7,11.32
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,117,3,4,10,2,9.3,1229.46,24,1.09
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,128,2,3,4,3,8.3,1461.34,13,15.15
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,199,4,3,9,2,9.8,2993.45,23,3.57
apartment,RR,Norte,Boa Vista,Centro,estimated_regional_proxy,5300.0,83,2,3,10,1,7.6,1216.34,3,1.78
apartment,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,36,1,1,17,2,6.0,481.47,16,13.53
apartment,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,161,4,4,20,1,6.4,1036.83,33,10.58
apartment,CE,Nordeste,Fortaleza,Zona Sul,FipeZAP,9350.0,154,5,5,8,2,8.3,2262.69,16,2.46
house,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,259,5,5,0,1,5.6,584.13,2,14.78
apartment,MG,Sudeste,Belo Horizonte,Região Residencial,FipeZAP,10663.0,144,3,4,24,2,6.8,1436.66,11,11.89
house,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,153,4,5,0,3,10.0,1188.28,17,0.73
house,ES,Sudeste,Vitória,Zona Norte,FipeZAP,14818.0,266,5,4,0,1,7.2,1036.96,28,12.22
house,MG,Sudeste,Belo Horizonte,Região Comercial,FipeZAP,10663.0,136,2,3,0,1,7.8,610.34,16,5.01
house,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,254,4,5,0,3,8.7,1016.68,15,15.63
apartment,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,86,3,2,20,1,9.0,1344.11,4,5.03
house,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,282,5,4,0,3,5.6,777.32,7,22.25
house,PR,Sul,Curitiba,Área Nobre,FipeZAP,11694.0,146,4,4,0,1,8.8,845.64,33,5.25
apartment,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,81,3,2,17,2,7.7,1061.68,18,19.02
apartment,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,114,2,3,10,0,6.7,617.24,31,10.04
house,SE,Nordeste,Aracaju,Região Residencial,FipeZAP,5529.0,222,4,3,0,3,7.8,1006.51,33,11.21
house,ES,Sudeste,Vitória,Região Periférica,FipeZAP,14818.0,218,5,5,0,1,4.5,669.11,13,24.76
house,AC,Norte,Rio Branco,Região Periférica,estimated_regional_proxy,5200.0,306,5,5,0,2,4.1,774.1,36,12.68
