property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km,price
house,DF,Centro-Oeste,Brasília,Centro,FipeZAP,10090.0,119,3,3,0,1,7.1,732.48,34,2.36,1383873.07
apartment,RS,Sul,Porto Alegre,Região Periférica,FipeZAP,7579.0,146,4,3,22,1,4.5,953.49,33,12.82,885625.86
apartment,GO,Centro-Oeste,Goiânia,Zona Leste,FipeZAP,8226.0,105,3,2,25,1,6.0,1088.34,29,6.56,886132.98
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,130,4,4,22,0,6.2,1224.33,18,4.21,1209027.2
house,CE,Nordeste,Fortaleza,Região Comercial,FipeZAP,9350.0,317,4,5,0,0,8.5,1226.25,34,7.09,2982968.84
apartment,MS,Centro-Oeste,Campo Grande,Área Nobre,FipeZAP,6839.0,64,2,2,22,0,9.5,804.57,40,2.71,652190.32
house,MG,Sudeste,Belo Horizonte,Região Comercial,FipeZAP,10663.0,308,4,5,0,2,9.0,1448.63,17,4.71,3527063.5
apartment,AC,Norte,Rio Branco,Área Universitária,estimated_regional_proxy,5200.0,59,2,1,16,1,7.3,471.18,35,12.75,293512.64
apartment,SC,Sul,Florianópolis,Zona Sul,FipeZAP,13208.0,173,3,4,4,1,8.0,2026.56,15,11.46,2861154.11
house,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,68,3,2,0,3,9.8,441.78,39,3.27,1041621.03
house,DF,Centro-Oeste,Brasília,Zona Oeste,FipeZAP,10090.0,204,5,5,0,3,7.7,624.58,38,12.23,2052108.47
apartment,RR,Norte,Boa Vista,Zona Norte,estimated_regional_proxy,5300.0,90,2,1,0,1,6.4,639.56,32,8.0,455307.86
apartment,MG,Sudeste,Belo Horizonte,Zona Leste,FipeZAP,10663.0,176,3,2,19,0,7.1,1755.15,2,12.73,1798220.73
apartment,RR,Norte,Boa Vista,Região Comercial,estimated_regional_proxy,5300.0,207,5,5,27,0,8.2,1845.2,32,5.82,1376713.87
house,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,141,3,2,0,2,8.5,822.63,4,11.33,1565002.27
house,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,236,4,5,0,3,6.2,1191.37,5,5.21,1718199.81
house,AC,Norte,Rio Branco,Zona Leste,estimated_regional_proxy,5200.0,261,3,3,0,3,5.6,1152.57,12,9.27,1242029.31
house,BA,Nordeste,Salvador,Área Nobre,FipeZAP,8385.0,113,2,3,0,4,9.1,992.52,22,1.37,1458133.62
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,127,3,4,17,1,9.6,1927.62,32,4.06,2414581.0
house,AP,Norte,Macapá,Zona Leste,estimated_regional_proxy,5400.0,112,3,4,0,1,5.7,221.34,22,6.29,713594.75
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,189,3,3,18,2,7.9,3042.77,0,2.89,2075326.16
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,76,3,4,21,0,7.4,964.31,35,2.03,588066.43
apartment,PE,Nordeste,Recife,Região Comercial,FipeZAP,8615.0,57,2,2,22,1,6.6,887.82,6,3.27,751158.66
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,68,2,1,16,0,8.5,591.57,3,10.72,595187.36
apartment,CE,Nordeste,Fortaleza,Zona Oeste,FipeZAP,9350.0,37,1,1,18,1,7.4,405.16,5,8.67,494020.37
house,CE,Nordeste,Fortaleza,Região Comercial,FipeZAP,9350.0,306,3,2,0,0,9.0,1090.18,1,2.01,2989009.93
apartment,RO,Norte,Porto Velho,Área Nobre,estimated_regional_proxy,5600.0,165,4,4,25,1,10.0,1452.3,19,5.12,1392654.81
apartment,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,32,1,1,32,1,5.7,697.69,12,17.86,349999.71
house,BA,Nordeste,Salvador,Centro,FipeZAP,8385.0,295,5,5,0,2,9.2,770.18,34,1.13,2873504.64
apartment,BA,Nordeste,Salvador,Zona Leste,FipeZAP,8385.0,112,3,2,13,1,6.8,966.69,7,16.61,960901.83
house,ES,Sudeste,Vitória,Centro,FipeZAP,14818.0,202,4,5,0,2,7.9,727.66,39,2.4,3107687.31
apartment,SC,Sul,Florianópolis,Centro,FipeZAP,13208.0,184,4,3,35,3,7.6,2400.66,3,3.1,3203097.12
house,AL,Nordeste,Maceió,Zona Oeste,FipeZAP,9908.0,218,4,5,0,1,8.0,894.45,3,7.25,2191300.9
apartment,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,103,3,3,5,1,7.0,958.71,39,16.77,952359.64
house,MG,Sudeste,Belo Horizonte,Zona Norte,FipeZAP,10663.0,192,4,4,0,3,7.4,1002.3,8,9.24,2135246.86
house,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,241,4,4,0,3,5.6,703.19,20,20.64,2245017.76
apartment,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,54,2,2,25,2,7.7,579.5,23,13.02,455745.97
apartment,MG,Sudeste,Belo Horizonte,Zona Oeste,FipeZAP,10663.0,143,5,4,20,1,6.2,1436.65,27,11.22,1553977.76
apartment,PB,Nordeste,João Pessoa,Região Residencial,FipeZAP,8081.0,213,4,3,18,1,6.1,2524.22,39,9.14,1795913.12
apartment,RJ,Sudeste,Rio de Janeiro,Área Nobre,FipeZAP,10939.0,208,5,5,3,0,9.6,2800.25,18,2.27,3429099.98
apartment,RN,Nordeste,Natal,Região Residencial,FipeZAP,6334.0,94,3,2,2,0,7.7,584.73,36,7.41,618034.86
house,PR,Sul,Curitiba,Região Comercial,FipeZAP,11694.0,224,4,5,0,1,8.7,1011.07,6,1.12,2888703.37
apartment,AL,Nordeste,Maceió,Zona Leste,FipeZAP,9908.0,159,3,2,2,1,6.0,1908.23,8,18.16,1419483.07
house,MS,Centro-Oeste,Campo Grande,Região Comercial,FipeZAP,6839.0,274,4,5,0,3,7.8,1228.88,1,7.68,2342946.86
apartment,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,138,2,2,33,1,5.6,1222.17,40,24.67,828635.11
apartment,MS,Centro-Oeste,Campo Grande,Zona Oeste,FipeZAP,6839.0,86,3,2,30,2,7.6,1026.81,16,7.63,771106.92
house,AM,Norte,Manaus,Zona Oeste,FipeZAP,7513.0,240,3,2,0,2,8.1,1003.56,35,11.56,1668693.49
apartment,DF,Centro-Oeste,Brasília,Região Comercial,FipeZAP,10090.0,65,3,2,19,0,7.7,657.49,33,6.37,742303.77
apartment,MA,Nordeste,São Luís,Centro,FipeZAP,8627.0,90,3,2,24,0,7.0,739.04,37,3.89,834419.96
house,PE,Nordeste,Recife,Região Comercial,FipeZAP,8615.0,208,4,4,0,3,9.0,798.05,11,9.13,2066817.43
apartment,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,205,5,5,7,3,8.1,1282.65,34,3.71,2662626.72
house,PB,Nordeste,João Pessoa,Área Nobre,FipeZAP,8081.0,230,4,5,0,1,9.0,1191.05,28,4.01,2575000.32
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,199,5,4,33,0,9.1,1977.97,38,6.56,2558431.65
house,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,236,4,4,0,1,7.6,354.96,36,14.02,1676526.5
house,PA,Norte,Belém,Região Periférica,FipeZAP,8882.0,257,5,5,0,4,6.7,1027.6,6,27.81,1945655.13
apartment,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,32,1,2,5,2,8.7,502.08,34,13.13,235179.03
apartment,BA,Nordeste,Salvador,Zona Oeste,FipeZAP,8385.0,154,4,4,24,1,7.0,1993.19,27,10.87,1388288.86
house,RO,Norte,Porto Velho,Zona Leste,estimated_regional_proxy,5600.0,285,4,5,0,2,7.2,1334.34,5,13.43,1909543.77
apartment,BA,Nordeste,Salvador,Região Comercial,FipeZAP,8385.0,69,2,3,26,2,8.7,1168.04,40,3.21,740585.4
house,GO,Centro-Oeste,Goiânia,Zona Leste,FipeZAP,8226.0,308,5,5,0,0,7.5,622.77,38,8.89,2205172.61
apartment,GO,Centro-Oeste,Goiânia,Área Nobre,FipeZAP,8226.0,75,2,3,26,3,9.1,814.07,34,0.56,1089516.84
apartment,PE,Nordeste,Recife,Zona Leste,FipeZAP,8615.0,177,5,4,31,2,7.3,1276.67,0,17.05,1702697.64
apartment,SC,Sul,Florianópolis,Região Residencial,FipeZAP,13208.0,62,3,4,5,1,7.9,810.16,33,8.8,874026.44
apartment,AM,Norte,Manaus,Zona Norte,FipeZAP,7513.0,56,1,1,2,3,7.9,726.61,19,9.88,562761.17
apartment,PE,Nordeste,Recife,Área Nobre,FipeZAP,8615.0,93,3,4,24,2,10.0,731.06,16,1.71,1452955.51
apartment,AP,Norte,Macapá,Região Periférica,estimated_regional_proxy,5400.0,75,1,1,14,1,5.8,473.01,8,14.46,404411.01
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,117,3,2,7,1,5.2,1380.16,30,11.67,653526.72
apartment,MT,Centro-Oeste,Cuiabá,Centro,FipeZAP,6931.0,75,2,1,31,0,8.3,900.85,32,0.53,642819.28
apartment,AL,Nordeste,Maceió,Zona Norte,FipeZAP,9908.0,132,2,2,1,3,7.5,914.3,39,6.8,1420800.36
apartment,MA,Nordeste,São Luís,Região Comercial,FipeZAP,8627.0,91,3,4,19,1,8.2,1423.88,5,5.98,1152966.21
apartment,MT,Centro-Oeste,Cuiabá,Região Periférica,FipeZAP,6931.0,41,1,2,22,1,4.7,475.33,35,27.57,80000.0
apartment,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,64,2,3,28,1,8.6,869.72,30,10.68,557777.38
apartment,PA,Norte,Belém,Zona Norte,FipeZAP,8882.0,79,1,1,31,1,6.7,1271.37,33,16.23,576960.53
apartment,BA,Nordeste,Salvador,Área Nobre,FipeZAP,8385.0,172,4,4,32,0,8.8,2184.69,13,2.04,2080325.56
house,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,170,3,3,0,2,6.1,884.41,24,14.78,1104801.11
apartment,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,43,1,1,15,1,4.4,431.46,7,18.09,399084.64
apartment,SC,Sul,Florianópolis,Área Universitária,FipeZAP,13208.0,204,4,5,11,1,8.7,2068.14,19,4.47,2965651.74
apartment,SP,Sudeste,São Paulo,Zona Leste,FipeZAP,12019.0,208,4,4,13,1,7.9,1563.68,33,5.08,2338031.57
apartment,AP,Norte,Macapá,Área Nobre,estimated_regional_proxy,5400.0,67,1,1,19,0,8.8,809.18,20,4.88,568542.94
house,AM,Norte,Manaus,Centro,FipeZAP,7513.0,277,3,3,0,1,8.4,1304.99,39,3.54,2242651.57
house,AL,Nordeste,Maceió,Zona Sul,FipeZAP,9908.0,201,4,4,0,1,8.3,1154.46,5,3.59,2482457.65
apartment,MG,Sudeste,Belo Horizonte,Zona Norte,FipeZAP,10663.0,131,3,3,3,1,7.7,1119.94,10,8.44,1421961.31
apartment,SP,Sudeste,São Paulo,Centro,FipeZAP,12019.0,172,4,3,20,1,7.5,2127.11,37,1.81,2331480.86
house,BA,Nordeste,Salvador,Zona Leste,FipeZAP,8385.0,176,2,1,0,3,6.2,835.52,35,14.86,1373667.48
apartment,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,109,4,5,14,0,5.6,698.31,18,13.15,730159.28
apartment,PE,Nordeste,Recife,Zona Sul,FipeZAP,8615.0,135,3,2,35,2,8.5,1278.44,10,3.22,1653554.2
house,GO,Centro-Oeste,Goiânia,Região Comercial,FipeZAP,8226.0,95,2,2,0,2,7.9,613.89,12,1.39,1049001.81
house,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,131,3,4,0,3,8.5,864.8,18,5.3,1064545.12
apartment,MS,Centro-Oeste,Campo Grande,Centro,FipeZAP,6839.0,98,3,2,34,2,7.2,1396.74,14,0.58,1054924.28
house,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,144,3,2,0,2,8.3,577.91,38,10.31,869251.25
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,126,3,4,35,0,6.4,1530.1,12,12.64,1116751.95
apartment,ES,Sudeste,Vitória,Região Comercial,FipeZAP,14818.0,73,1,1,2,0,7.4,686.43,22,9.96,1019107.09
apartment,CE,Nordeste,Fortaleza,Zona Leste,FipeZAP,9350.0,60,2,3,15,1,7.3,613.66,11,10.91,690296.12
apartment,SP,Sudeste,São Paulo,Zona Norte,FipeZAP,12019.0,61,2,2,32,1,5.7,593.26,22,5.65,795530.88
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,104,3,3,2,1,7.8,934.04,14,13.03,841827.7
apartment,SC,Sul,Florianópolis,Área Universitária,FipeZAP,13208.0,192,3,3,1,0,8.9,1782.12,24,9.69,2659515.85
apartment,PR,Sul,Curitiba,Centro,FipeZAP,11694.0,83,3,2,2,3,7.8,750.64,33,0.74,1194049.84
apartment,PB,Nordeste,João Pessoa,Zona Norte,FipeZAP,8081.0,89,2,2,5,0,7.1,925.62,4,6.13,858608.62
apartment,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,85,2,3,14,3,8.6,1338.61,6,5.59,1451101.17
apartment,SC,Sul,Florianópolis,Zona Norte,FipeZAP,13208.0,207,4,4,34,1,5.9,1144.29,4,9.42,2584487.45
apartment,SE,Nordeste,Aracaju,Zona Oeste,FipeZAP,5529.0,167,4,3,22,0,6.7,1219.7,20,17.51,993389.34
apartment,AC,Norte,Rio Branco,Zona Leste,estimated_regional_proxy,5200.0,63,2,1,17,1,6.4,518.31,12,18.35,396831.32
house,MT,Centro-Oeste,Cuiabá,Centro,FipeZAP,6931.0,107,4,4,0,1,7.6,666.27,27,3.23,1007834.69
apartment,AP,Norte,Macapá,Zona Sul,estimated_regional_proxy,5400.0,201,3,2,0,1,9.2,1419.68,23,8.59,1401269.29
apartment,MA,Nordeste,São Luís,Região Periférica,FipeZAP,8627.0,168,4,5,14,2,4.5,1386.39,29,11.77,1233156.43
house,MA,Nordeste,São Luís,Área Universitária,FipeZAP,8627.0,108,3,2,0,1,8.1,614.24,9,8.36,1198036.62
apartment,AM,Norte,Manaus,Região Periférica,FipeZAP,7513.0,197,4,5,17,0,5.7,1647.15,21,17.0,1233669.24
apartment,SP,Sudeste,São Paulo,Zona Sul,FipeZAP,12019.0,148,3,2,11,2,8.0,1943.46,39,11.78,2046764.44
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,42,1,2,17,0,8.4,510.19,22,12.33,289733.82
apartment,SE,Nordeste,Aracaju,Zona Sul,FipeZAP,5529.0,59,1,1,24,2,8.8,1083.29,4,10.12,666148.36
apartment,MS,Centro-Oeste,Campo Grande,Área Nobre,FipeZAP,6839.0,39,1,2,20,2,9.5,838.52,8,2.94,635771.64
apartment,RS,Sul,Porto Alegre,Região Residencial,FipeZAP,7579.0,130,3,3,3,1,8.5,1424.5,36,10.71,977554.25
house,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,280,3,3,0,2,7.6,887.13,23,10.29,2913488.94
apartment,SE,Nordeste,Aracaju,Região Comercial,FipeZAP,5529.0,59,2,1,30,2,6.9,680.85,32,3.95,436475.93
house,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,220,4,5,0,2,6.8,1224.8,13,6.92,1606650.01
apartment,BA,Nordeste,Salvador,Centro,FipeZAP,8385.0,147,3,2,5,1,7.1,2066.97,25,3.48,1505792.25
apartment,RJ,Sudeste,Rio de Janeiro,Zona Leste,FipeZAP,10939.0,34,1,2,35,0,7.7,409.7,23,20.46,317321.39
apartment,SC,Sul,Florianópolis,Região Comercial,FipeZAP,13208.0,187,3,4,23,0,7.1,1489.46,9,9.16,2923168.69
apartment,PB,Nordeste,João Pessoa,Zona Oeste,FipeZAP,8081.0,74,1,1,35,0,7.3,667.14,32,10.19,528693.46
apartment,AP,Norte,Macapá,Região Residencial,estimated_regional_proxy,5400.0,183,5,5,13,2,6.4,2006.78,36,12.43,1233820.55
apartment,PA,Norte,Belém,Área Universitária,FipeZAP,8882.0,190,3,3,3,1,7.9,2192.64,33,8.28,1981681.63
house,PR,Sul,Curitiba,Zona Oeste,FipeZAP,11694.0,64,3,3,0,3,6.1,445.45,38,17.93,720795.33
apartment,MS,Centro-Oeste,Campo Grande,Zona Sul,FipeZAP,6839.0,92,2,3,31,1,9.2,1550.75,14,9.54,973909.14
house,MT,Centro-Oeste,Cuiabá,Região Comercial,FipeZAP,6931.0,85,3,3,0,2,7.4,399.29,34,3.54,761291.57
house,RS,Sul,Porto Alegre,Zona Leste,FipeZAP,7579.0,133,3,2,0,0,6.7,380.7,8,15.79,994197.76
apartment,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,56,1,1,32,1,9.2,758.01,36,10.2,568458.75
house,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,122,2,2,0,2,7.8,350.45,37,5.16,826090.46
apartment,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,38,1,2,5,2,9.6,612.67,8,8.52,724743.04
apartment,RR,Norte,Boa Vista,Zona Leste,estimated_regional_proxy,5300.0,219,3,2,32,0,7.2,1790.28,10,8.25,1266658.77
apartment,PE,Nordeste,Recife,Zona Sul,FipeZAP,8615.0,154,3,4,15,0,7.9,2289.03,0,10.56,1799557.81
apartment,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,67,1,1,14,0,5.2,682.86,35,23.67,253176.32
apartment,AL,Nordeste,Maceió,Zona Oeste,FipeZAP,9908.0,180,4,4,26,1,8.1,1647.32,34,13.2,1972844.31
apartment,RJ,Sudeste,Rio de Janeiro,Área Universitária,FipeZAP,10939.0,43,1,1,25,3,7.2,647.62,18,12.93,660075.34
apartment,MA,Nordeste,São Luís,Centro,FipeZAP,8627.0,93,3,4,32,1,7.2,1407.1,13,1.29,1284781.05
house,PR,Sul,Curitiba,Zona Oeste,FipeZAP,11694.0,186,4,4,0,2,7.9,727.44,34,5.52,2059937.1
house,PA,Norte,Belém,Centro,FipeZAP,8882.0,260,4,3,0,3,7.1,1054.13,7,3.85,2527277.82
apartment,PE,Nordeste,Recife,Área Universitária,FipeZAP,8615.0,81,4,4,28,0,8.0,721.77,3,10.43,983839.28
house,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,131,2,1,0,2,6.0,369.92,5,3.52,976645.01
apartment,PB,Nordeste,João Pessoa,Centro,FipeZAP,8081.0,171,4,3,34,1,8.2,2037.5,7,0.52,1807781.29
house,MT,Centro-Oeste,Cuiabá,Área Universitária,FipeZAP,6931.0,100,3,4,0,3,7.8,612.28,12,12.49,1003490.64
apartment,PB,Nordeste,João Pessoa,Centro,FipeZAP,8081.0,48,2,1,11,2,8.4,741.55,25,1.58,615982.49
apartment,CE,Nordeste,Fortaleza,Área Nobre,FipeZAP,9350.0,185,4,5,19,2,9.0,2894.3,28,6.62,2309840.73
apartment,MS,Centro-Oeste,Campo Grande,Área Nobre,FipeZAP,6839.0,150,4,3,27,0,9.9,1944.0,15,0.93,1651626.47
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,186,4,3,0,1,5.2,568.31,17,11.59,1637568.36
apartment,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,185,3,4,14,2,9.4,2307.68,35,2.91,2416024.12
house,DF,Centro-Oeste,Brasília,Região Comercial,FipeZAP,10090.0,106,2,2,0,1,8.1,477.92,30,4.07,1093806.38
house,MA,Nordeste,São Luís,Área Nobre,FipeZAP,8627.0,263,3,2,0,2,8.7,1133.57,23,3.66,2770086.28
apartment,MS,Centro-Oeste,Campo Grande,Zona Sul,FipeZAP,6839.0,88,2,2,14,1,7.8,1070.81,36,11.56,712853.05
apartment,MT,Centro-Oeste,Cuiabá,Centro,FipeZAP,6931.0,88,3,2,16,1,7.4,1278.75,33,2.44,814149.01
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,114,3,4,20,3,7.9,1120.05,34,7.83,1308900.62
house,RJ,Sudeste,Rio de Janeiro,Zona Sul,FipeZAP,10939.0,163,4,5,0,1,8.0,966.68,27,5.95,2156586.9
apartment,SE,Nordeste,Aracaju,Zona Oeste,FipeZAP,5529.0,168,4,3,27,0,8.2,2173.49,16,19.16,1107297.26
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,131,3,4,10,0,7.4,1461.65,16,18.78,1854217.73
apartment,PI,Nordeste,Teresina,Área Universitária,FipeZAP,5857.0,202,3,4,16,1,7.3,2079.18,4,5.07,1541776.07
apartment,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,122,3,3,21,2,9.4,1368.44,11,4.69,1253674.9
house,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,84,2,1,0,2,9.2,572.77,8,9.69,1013269.68
apartment,MT,Centro-Oeste,Cuiabá,Área Nobre,FipeZAP,6931.0,157,3,4,3,1,9.3,1641.87,12,4.61,1721204.89
apartment,MS,Centro-Oeste,Campo Grande,Zona Oeste,FipeZAP,6839.0,42,1,2,30,0,8.3,419.88,26,11.08,314159.05
apartment,RJ,Sudeste,Rio de Janeiro,Área Universitária,FipeZAP,10939.0,42,1,1,20,0,6.8,670.28,22,12.66,484307.72
apartment,RN,Nordeste,Natal,Área Nobre,FipeZAP,6334.0,82,3,2,23,1,9.9,1124.02,11,5.18,995729.96
house,AM,Norte,Manaus,Área Universitária,FipeZAP,7513.0,138,2,1,0,1,6.6,565.25,37,5.31,951717.43
house,AM,Norte,Manaus,Zona Norte,FipeZAP,7513.0,200,4,5,0,2,5.7,730.49,25,13.62,1433971.41
house,MG,Sudeste,Belo Horizonte,Zona Leste,FipeZAP,10663.0,70,3,3,0,4,5.8,502.01,18,13.08,800661.06
apartment,PE,Nordeste,Recife,Área Nobre,FipeZAP,8615.0,134,3,2,6,2,9.1,2080.81,8,5.18,1817049.26
apartment,AL,Nordeste,Maceió,Zona Norte,FipeZAP,9908.0,202,5,5,33,1,7.3,2178.27,20,17.64,2110603.45
apartment,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,76,2,2,9,0,4.1,282.53,9,12.24,407210.99
apartment,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,58,2,2,24,3,7.9,1188.38,15,11.82,779481.46
apartment,AM,Norte,Manaus,Zona Leste,FipeZAP,7513.0,182,3,2,32,2,6.1,1896.44,35,5.02,1392207.98
house,MG,Sudeste,Belo Horizonte,Região Comercial,FipeZAP,10663.0,276,3,4,0,1,7.3,1012.72,40,1.59,2802696.35
apartment,MA,Nordeste,São Luís,Área Universitária,FipeZAP,8627.0,85,3,3,31,1,7.4,828.63,6,4.7,1125194.61
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,210,4,5,7,1,8.1,3065.11,37,5.45,2097080.88
apartment,RJ,Sudeste,Rio de Janeiro,Área Nobre,FipeZAP,10939.0,81,3,3,10,0,9.3,1472.43,20,2.07,1382312.55
apartment,RN,Nordeste,Natal,Região Periférica,FipeZAP,6334.0,32,1,1,29,2,4.1,492.64,10,25.19,168466.27
apartment,RO,Norte,Porto Velho,Área Nobre,estimated_regional_proxy,5600.0,84,2,3,17,3,9.6,1782.88,16,2.81,994810.04
apartment,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,37,1,1,29,2,7.6,677.47,19,8.03,381037.44
apartment,MS,Centro-Oeste,Campo Grande,Zona Leste,FipeZAP,6839.0,133,3,3,1,1,6.3,1577.43,2,5.5,1125598.07
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,177,5,5,29,2,6.8,2193.02,28,11.09,1170550.68
apartment,PB,Nordeste,João Pessoa,Zona Norte,FipeZAP,8081.0,39,1,1,10,2,5.9,582.76,40,16.13,223790.21
apartment,RS,Sul,Porto Alegre,Zona Leste,FipeZAP,7579.0,55,2,3,18,0,7.8,737.24,20,20.17,422629.17
apartment,MA,Nordeste,São Luís,Área Universitária,FipeZAP,8627.0,141,4,4,27,1,8.9,1069.82,2,8.08,1678056.85
house,AP,Norte,Macapá,Região Periférica,estimated_regional_proxy,5400.0,240,4,3,0,1,5.2,914.12,40,19.84,861881.21
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,105,3,4,35,2,8.9,1649.37,36,10.96,1187963.66
apartment,PI,Nordeste,Teresina,Zona Oeste,FipeZAP,5857.0,45,1,1,21,1,6.8,634.14,9,11.22,346159.3
