property_type,state,region,city,neighborhood,price_source,base_price_m2,area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km,price
apartment,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,79,3,2,30,1,8.6,964.09,35,3.84,973479.51
house,AL,Nordeste,Maceió,Região Comercial,FipeZAP,9908.0,87,2,2,0,1,6.6,405.74,34,9.06,834943.31
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,76,2,3,9,1,10.0,720.41,24,5.45,971062.81
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,86,3,4,3,2,8.2,1014.87,33,13.53,1327385.37
apartment,ES,Sudeste,Vitória,Zona Oeste,FipeZAP,14818.0,85,2,3,6,1,7.3,1046.14,33,19.81,1188371.81
apartment,RS,Sul,Porto Alegre,Área Universitária,FipeZAP,7579.0,46,2,3,21,2,6.9,656.63,23,11.33,554783.54
apartment,AC,Norte,Rio Branco,Centro,estimated_regional_proxy,5200.0,115,2,3,28,1,9.1,1670.15,5,3.21,1034505.43
apartment,MA,Nordeste,São Luís,Região Residencial,FipeZAP,8627.0,144,4,5,31,1,6.3,1598.72,34,7.59,1402121.7
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,41,2,3,6,1,6.0,426.96,19,19.49,275981.52
apartment,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,144,3,4,20,3,6.5,1772.15,29,11.34,1141633.45
house,PA,Norte,Belém,Área Nobre,FipeZAP,8882.0,310,4,3,0,2,9.6,1532.62,13,2.81,3654854.44
apartment,PE,Nordeste,Recife,Zona Leste,FipeZAP,8615.0,66,3,4,30,3,5.4,808.85,19,16.08,789866.44
apartment,AL,Nordeste,Maceió,Região Periférica,FipeZAP,9908.0,60,2,3,18,1,6.8,470.94,38,22.04,393064.3
apartment,RO,Norte,Porto Velho,Região Periférica,estimated_regional_proxy,5600.0,33,1,1,29,0,5.0,271.83,35,11.17,80000.0
apartment,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,204,4,4,5,0,8.9,3163.29,38,2.57,1666435.7
apartment,MS,Centro-Oeste,Campo Grande,Região Residencial,FipeZAP,6839.0,134,3,2,18,0,8.4,1870.22,16,12.2,975416.82
apartment,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,177,4,5,10,0,4.4,1503.37,14,19.66,1536699.16
apartment,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,35,1,1,15,3,7.4,669.15,38,3.01,425323.64
apartment,RR,Norte,Boa Vista,Zona Leste,estimated_regional_proxy,5300.0,156,4,5,11,1,6.8,1138.25,39,21.48,718149.04
house,AM,Norte,Manaus,Região Residencial,FipeZAP,7513.0,257,4,5,0,2,7.9,1198.28,5,4.9,2385644.73
apartment,TO,Norte,Palmas,Área Universitária,estimated_regional_proxy,5900.0,103,2,2,16,1,8.6,1181.16,25,7.56,791988.36
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,42,1,1,3,0,7.8,466.9,6,4.44,440662.81
apartment,AP,Norte,Macapá,Zona Norte,estimated_regional_proxy,5400.0,210,3,3,27,1,6.7,1533.86,4,9.45,1318686.52
apartment,MG,Sudeste,Belo Horizonte,Centro,FipeZAP,10663.0,214,4,5,32,0,7.5,1231.28,17,1.31,2740840.25
house,MA,Nordeste,São Luís,Zona Norte,FipeZAP,8627.0,76,2,1,0,1,7.2,350.17,32,13.72,524100.93
house,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,120,3,4,0,4,4.6,660.59,1,11.8,1007090.09
apartment,ES,Sudeste,Vitória,Centro,FipeZAP,14818.0,138,3,4,13,3,8.2,1157.95,14,3.73,2551948.02
apartment,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,170,3,3,23,2,6.9,1666.85,26,23.69,1393285.72
apartment,TO,Norte,Palmas,Centro,estimated_regional_proxy,5900.0,44,1,2,34,1,9.3,838.15,21,2.01,509130.18
apartment,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,57,3,4,27,1,8.7,900.48,6,2.41,701775.01
house,PI,Nordeste,Teresina,Zona Oeste,FipeZAP,5857.0,104,3,2,0,3,6.0,583.58,11,5.35,846116.08
apartment,RJ,Sudeste,Rio de Janeiro,Região Residencial,FipeZAP,10939.0,100,3,2,28,2,7.1,880.83,28,5.39,1251685.85
house,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,309,4,4,0,3,8.7,1529.74,30,10.04,2134232.42
house,MT,Centro-Oeste,Cuiabá,Zona Norte,FipeZAP,6931.0,124,4,3,0,3,6.6,455.57,1,17.4,1103089.72
apartment,AL,Nordeste,Maceió,Área Universitária,FipeZAP,9908.0,196,3,3,4,2,8.0,1954.84,0,5.99,2190735.12
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,146,4,3,10,1,5.7,790.7,18,9.18,1229963.92
apartment,BA,Nordeste,Salvador,Zona Sul,FipeZAP,8385.0,142,4,3,15,3,9.1,2212.96,38,10.94,1501029.43
apartment,PB,Nordeste,João Pessoa,Região Periférica,FipeZAP,8081.0,98,3,4,23,0,5.9,1067.99,28,12.65,676448.31
apartment,RN,Nordeste,Natal,Região Comercial,FipeZAP,6334.0,179,4,5,13,2,9.0,1308.39,36,3.47,1561593.68
house,AC,Norte,Rio Branco,Região Comercial,estimated_regional_proxy,5200.0,135,3,2,0,2,8.4,610.44,18,9.8,920317.03
apartment,BA,Nordeste,Salvador,Região Comercial,FipeZAP,8385.0,144,5,5,33,0,6.8,1250.95,39,2.39,1428449.92
house,CE,Nordeste,Fortaleza,Região Periférica,FipeZAP,9350.0,318,3,2,0,1,5.4,928.07,0,26.33,2313533.59
apartment,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,65,2,1,6,2,4.5,568.7,12,14.94,664556.64
apartment,GO,Centro-Oeste,Goiânia,Área Universitária,FipeZAP,8226.0,60,2,1,12,2,8.2,965.79,15,3.44,755773.42
apartment,RR,Norte,Boa Vista,Área Universitária,estimated_regional_proxy,5300.0,212,4,5,28,0,8.7,2198.24,4,12.67,1508298.83
apartment,MT,Centro-Oeste,Cuiabá,Zona Oeste,FipeZAP,6931.0,96,2,3,17,1,7.3,777.16,34,18.38,638877.29
apartment,SE,Nordeste,Aracaju,Zona Norte,FipeZAP,5529.0,169,4,4,22,2,5.8,2302.1,37,15.51,895249.31
apartment,SE,Nordeste,Aracaju,Centro,FipeZAP,5529.0,87,2,2,5,3,7.2,1165.77,23,2.03,808885.01
house,DF,Centro-Oeste,Brasília,Zona Sul,FipeZAP,10090.0,240,4,5,0,2,9.4,1441.93,22,6.21,2854873.82
house,MG,Sudeste,Belo Horizonte,Região Comercial,FipeZAP,10663.0,103,3,4,0,3,8.1,518.0,15,5.79,1479749.65
house,PI,Nordeste,Teresina,Área Nobre,FipeZAP,5857.0,282,5,5,0,1,8.6,1563.21,28,1.97,2182662.45
apartment,MS,Centro-Oeste,Campo Grande,Zona Oeste,FipeZAP,6839.0,158,3,3,24,2,6.2,2218.94,36,15.67,1204169.55
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,218,4,3,25,1,8.1,2858.93,16,15.47,1495723.49
house,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,139,3,3,0,1,9.9,505.08,32,2.62,2061157.36
apartment,DF,Centro-Oeste,Brasília,Área Universitária,FipeZAP,10090.0,49,2,1,35,1,7.1,844.88,15,2.19,729196.64
apartment,RJ,Sudeste,Rio de Janeiro,Região Periférica,FipeZAP,10939.0,188,3,2,27,1,5.8,1883.8,39,22.11,1434038.65
apartment,GO,Centro-Oeste,Goiânia,Zona Norte,FipeZAP,8226.0,193,5,5,34,0,5.9,1831.85,27,16.29,1487969.74
apartment,RR,Norte,Boa Vista,Região Residencial,estimated_regional_proxy,5300.0,164,4,5,8,1,8.8,2167.33,4,15.64,1261257.54
apartment,AL,Nordeste,Maceió,Área Nobre,FipeZAP,9908.0,46,2,1,1,1,8.5,489.69,35,1.51,735869.88
house,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,230,3,4,0,0,6.6,450.99,19,3.04,1269510.13
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,142,4,3,0,1,7.9,362.56,18,9.72,1370552.37
house,MT,Centro-Oeste,Cuiabá,Região Comercial,FipeZAP,6931.0,84,3,3,0,1,8.2,441.46,18,1.23,871504.87
apartment,GO,Centro-Oeste,Goiânia,Centro,FipeZAP,8226.0,145,3,4,10,2,8.1,2181.65,34,3.72,1443643.92
apartment,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,97,4,3,2,1,7.2,1144.86,23,9.43,1440685.56
apartment,RO,Norte,Porto Velho,Zona Sul,estimated_regional_proxy,5600.0,74,3,3,6,2,7.7,763.91,27,6.52,692919.22
house,RO,Norte,Porto Velho,Centro,estimated_regional_proxy,5600.0,152,3,2,0,4,8.0,617.54,9,1.29,1305516.67
apartment,AC,Norte,Rio Branco,Região Residencial,estimated_regional_proxy,5200.0,194,3,4,3,2,6.9,1387.67,21,8.68,1303158.96
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,157,3,4,14,3,8.2,1578.78,9,9.98,1321363.02
apartment,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,48,1,1,9,2,6.1,555.09,23,19.39,437525.83
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,148,4,5,26,2,9.0,1888.77,4,3.34,2010181.85
apartment,PA,Norte,Belém,Centro,FipeZAP,8882.0,62,2,2,8,1,7.9,719.31,40,0.5,699004.74
apartment,RJ,Sudeste,Rio de Janeiro,Centro,FipeZAP,10939.0,199,3,2,0,1,7.5,2523.36,25,3.11,2627420.96
apartment,GO,Centro-Oeste,Goiânia,Região Residencial,FipeZAP,8226.0,165,3,4,19,1,8.2,1516.63,24,15.38,1566427.1
house,RN,Nordeste,Natal,Região Periférica,FipeZAP,6334.0,62,2,3,0,1,4.3,133.24,15,15.32,378125.66
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,275,3,4,0,1,7.0,815.79,24,9.14,2310134.79
house,PA,Norte,Belém,Zona Oeste,FipeZAP,8882.0,124,4,5,0,2,7.9,687.44,39,15.91,1168636.14
apartment,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,113,2,1,9,0,6.2,1281.58,28,7.42,1741409.67
apartment,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,63,1,2,27,1,8.9,703.44,38,7.57,404354.15
apartment,ES,Sudeste,Vitória,Zona Sul,FipeZAP,14818.0,148,3,2,22,0,9.6,2189.46,4,10.94,2701484.69
apartment,GO,Centro-Oeste,Goiânia,Região Periférica,FipeZAP,8226.0,141,5,4,10,1,5.7,1094.82,0,15.0,1092129.22
apartment,AM,Norte,Manaus,Zona Norte,FipeZAP,7513.0,199,4,3,17,0,5.8,1307.4,30,14.12,1341303.29
house,DF,Centro-Oeste,Brasília,Área Universitária,FipeZAP,10090.0,157,3,2,0,3,8.3,626.42,24,3.18,1784884.07
house,SP,Sudeste,São Paulo,Zona Sul,FipeZAP,12019.0,181,4,3,0,3,9.4,753.28,19,4.82,2445075.43
apartment,SP,Sudeste,São Paulo,Zona Leste,FipeZAP,12019.0,201,4,5,6,1,7.4,1238.1,9,15.42,2370543.74
apartment,PB,Nordeste,João Pessoa,Zona Sul,FipeZAP,8081.0,30,2,2,11,1,9.8,525.92,4,11.29,593346.86
apartment,ES,Sudeste,Vitória,Área Universitária,FipeZAP,14818.0,66,3,3,33,3,8.0,1076.49,23,2.97,1297945.54
house,SE,Nordeste,Aracaju,Região Periférica,FipeZAP,5529.0,262,4,5,0,1,6.5,500.94,23,15.36,1145765.08
house,RO,Norte,Porto Velho,Área Universitária,estimated_regional_proxy,5600.0,152,3,2,0,3,7.3,512.51,16,9.01,1127571.23
apartment,CE,Nordeste,Fortaleza,Região Residencial,FipeZAP,9350.0,193,4,4,35,3,6.6,2237.51,35,12.54,1982805.78
apartment,MG,Sudeste,Belo Horizonte,Zona Sul,FipeZAP,10663.0,89,2,3,26,1,9.6,795.65,1,9.0,1333586.88
apartment,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,163,4,5,32,1,7.7,1381.99,5,3.73,1996991.03
apartment,MG,Sudeste,Belo Horizonte,Região Periférica,FipeZAP,10663.0,136,3,3,31,0,5.3,934.54,32,18.95,1100778.78
apartment,RS,Sul,Porto Alegre,Zona Norte,FipeZAP,7579.0,115,3,4,27,1,7.4,684.66,17,16.78,973341.49
apartment,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,43,1,1,32,1,7.6,885.28,26,6.41,310568.75
apartment,RS,Sul,Porto Alegre,Região Comercial,FipeZAP,7579.0,217,4,4,27,3,8.7,1591.2,21,1.25,2060844.05
apartment,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,173,4,5,34,2,9.8,2331.02,34,4.63,3189504.4
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,132,4,3,2,2,8.6,1848.98,14,6.52,1528146.99
apartment,SE,Nordeste,Aracaju,Área Nobre,FipeZAP,5529.0,49,3,2,31,1,8.5,628.95,14,6.15,588923.62
apartment,SC,Sul,Florianópolis,Área Nobre,FipeZAP,13208.0,210,4,4,30,2,9.1,2614.56,34,5.79,3905844.01
apartment,ES,Sudeste,Vitória,Área Universitária,FipeZAP,14818.0,123,2,1,25,3,8.2,1275.73,13,8.36,1948138.44
apartment,CE,Nordeste,Fortaleza,Região Residencial,FipeZAP,9350.0,153,3,3,19,0,8.6,1209.69,8,12.75,1601596.31
apartment,PE,Nordeste,Recife,Área Nobre,FipeZAP,8615.0,178,4,4,26,1,9.5,3174.51,27,6.12,2208962.7
apartment,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,216,5,5,17,1,7.5,1492.41,33,18.64,1401277.62
apartment,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,139,4,5,18,1,6.7,2017.99,26,6.47,1362651.85
apartment,TO,Norte,Palmas,Região Comercial,estimated_regional_proxy,5900.0,156,4,5,22,1,6.8,1025.87,15,7.05,1193791.96
house,DF,Centro-Oeste,Brasília,Zona Norte,FipeZAP,10090.0,185,3,2,0,0,6.8,574.05,7,5.74,1620561.3
apartment,ES,Sudeste,Vitória,Zona Oeste,FipeZAP,14818.0,58,1,2,24,0,6.1,803.26,15,7.2,876906.03
apartment,RJ,Sudeste,Rio de Janeiro,Área Universitária,FipeZAP,10939.0,80,3,3,7,1,6.6,645.87,27,8.04,997505.26
apartment,MS,Centro-Oeste,Campo Grande,Região Comercial,FipeZAP,6839.0,100,2,1,19,0,7.9,652.87,7,2.88,938272.75
apartment,SE,Nordeste,Aracaju,Zona Leste,FipeZAP,5529.0,163,4,5,25,1,6.8,1762.75,20,11.97,1074104.78
house,PE,Nordeste,Recife,Zona Sul,FipeZAP,8615.0,154,3,4,0,0,7.9,713.61,7,2.36,1693831.48
house,MT,Centro-Oeste,Cuiabá,Zona Leste,FipeZAP,6931.0,229,5,5,0,3,6.6,790.82,12,11.29,1739626.54
apartment,PR,Sul,Curitiba,Zona Norte,FipeZAP,11694.0,195,5,4,15,2,7.2,2001.32,16,17.07,2375581.28
apartment,RS,Sul,Porto Alegre,Centro,FipeZAP,7579.0,110,3,2,2,0,9.0,639.43,12,2.34,1153197.49
house,DF,Centro-Oeste,Brasília,Região Periférica,FipeZAP,10090.0,162,4,3,0,2,5.6,578.95,0,24.23,1353725.02
apartment,MT,Centro-Oeste,Cuiabá,Região Residencial,FipeZAP,6931.0,94,2,2,33,1,8.3,629.41,0,15.09,909203.29
apartment,GO,Centro-Oeste,Goiânia,Zona Oeste,FipeZAP,8226.0,163,5,5,29,1,6.2,1093.46,26,16.29,1468307.73
house,DF,Centro-Oeste,Brasília,Zona Leste,FipeZAP,10090.0,209,5,5,0,1,5.9,646.02,31,18.93,1773878.85
apartment,GO,Centro-Oeste,Goiânia,Região Comercial,FipeZAP,8226.0,53,2,1,14,1,6.9,825.65,11,6.78,626971.75
apartment,ES,Sudeste,Vitória,Região Residencial,FipeZAP,14818.0,150,4,4,24,0,8.4,1726.97,27,11.81,2346967.61
house,RJ,Sudeste,Rio de Janeiro,Zona Leste,FipeZAP,10939.0,252,5,5,0,0,6.4,783.19,30,14.17,2280326.83
apartment,DF,Centro-Oeste,Brasília,Região Residencial,FipeZAP,10090.0,47,3,2,3,1,6.3,485.96,21,13.97,571820.15
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,69,2,3,6,1,8.6,760.5,25,1.0,1586606.05
apartment,RJ,Sudeste,Rio de Janeiro,Zona Norte,FipeZAP,10939.0,80,2,1,19,1,7.3,638.19,39,12.19,736841.7
apartment,MG,Sudeste,Belo Horizonte,Área Nobre,FipeZAP,10663.0,92,3,3,5,0,9.7,836.37,18,6.97,1431105.38
house,RS,Sul,Porto Alegre,Zona Sul,FipeZAP,7579.0,117,3,2,0,2,8.6,351.66,27,11.72,1204197.42
apartment,TO,Norte,Palmas,Região Residencial,estimated_regional_proxy,5900.0,125,3,2,4,3,6.4,942.92,5,13.97,1029714.35
apartment,AM,Norte,Manaus,Área Universitária,FipeZAP,7513.0,128,3,2,16,1,8.7,1149.08,4,4.25,1238938.17
apartment,AC,Norte,Rio Branco,Zona Oeste,estimated_regional_proxy,5200.0,119,3,4,4,0,6.2,940.53,25,17.87,635252.82
apartment,RR,Norte,Boa Vista,Região Periférica,estimated_regional_proxy,5300.0,214,3,4,0,3,5.8,1293.5,6,12.67,1250163.62
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,46,2,1,28,1,6.8,471.0,9,15.2,404571.3
apartment,AL,Nordeste,Maceió,Área Nobre,FipeZAP,9908.0,81,3,2,17,2,9.9,1012.76,38,3.98,1159150.32
apartment,PI,Nordeste,Teresina,Região Residencial,FipeZAP,5857.0,102,3,4,14,1,7.7,932.3,10,6.48,912865.14
apartment,RO,Norte,Porto Velho,Região Residencial,estimated_regional_proxy,5600.0,99,2,1,35,2,7.9,933.58,0,4.86,825393.0
apartment,SE,Nordeste,Aracaju,Zona Sul,FipeZAP,5529.0,185,4,3,20,0,8.5,2782.81,24,3.99,1365873.43
apartment,MA,Nordeste,São Luís,Zona Sul,FipeZAP,8627.0,147,3,4,4,1,7.8,1362.77,28,9.69,1743416.45
apartment,RN,Nordeste,Natal,Zona Leste,FipeZAP,6334.0,82,4,5,15,2,7.1,1030.01,9,20.51,796132.71
apartment,SE,Nordeste,Aracaju,Região Comercial,FipeZAP,5529.0,92,3,2,26,1,7.2,1083.66,16,5.97,755038.42
apartment,AL,Nordeste,Maceió,Zona Oeste,FipeZAP,9908.0,115,2,1,5,1,5.8,1084.72,14,12.61,1250351.66
apartment,PE,Nordeste,Recife,Zona Norte,FipeZAP,8615.0,56,1,1,28,2,6.6,828.25,34,13.21,432829.78
apartment,RR,Norte,Boa Vista,Zona Oeste,estimated_regional_proxy,5300.0,216,5,4,28,2,7.1,2366.84,10,15.79,1415894.86
apartment,PB,Nordeste,João Pessoa,Área Nobre,FipeZAP,8081.0,126,2,2,22,1,9.2,2475.99,3,2.23,1588263.17
house,SC,Sul,Florianópolis,Região Periférica,FipeZAP,13208.0,112,4,4,0,2,6.8,427.57,10,12.38,1297041.62
apartment,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,185,3,4,28,1,6.5,2441.43,7,19.45,1189484.92
house,AP,Norte,Macapá,Região Comercial,estimated_regional_proxy,5400.0,289,5,5,0,1,7.6,1441.06,12,4.8,1962037.04
apartment,MA,Nordeste,São Luís,Zona Leste,FipeZAP,8627.0,176,4,3,13,1,6.2,891.01,40,8.42,1403680.9
apartment,RR,Norte,Boa Vista,Zona Norte,estimated_regional_proxy,5300.0,39,1,1,0,0,6.9,228.44,39,14.76,80000.0
apartment,AC,Norte,Rio Branco,Zona Norte,estimated_regional_proxy,5200.0,53,2,1,17,1,7.2,434.38,37,17.05,220098.26
house,SP,Sudeste,São Paulo,Região Periférica,FipeZAP,12019.0,68,2,1,0,4,5.0,423.54,20,22.93,703633.74
apartment,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,163,4,4,23,1,6.1,1895.96,16,11.65,2146698.04
house,PB,Nordeste,João Pessoa,Área Universitária,FipeZAP,8081.0,300,5,4,0,2,8.2,732.0,20,10.58,2750315.22
house,TO,Norte,Palmas,Zona Leste,estimated_regional_proxy,5900.0,88,2,3,0,2,6.1,412.98,21,19.2,534749.14
apartment,PI,Nordeste,Teresina,Centro,FipeZAP,5857.0,61,2,2,27,1,7.9,1018.42,23,0.83,616817.0
apartment,RS,Sul,Porto Alegre,Região Residencial,FipeZAP,7579.0,55,2,3,19,1,8.3,845.07,13,14.92,607436.04
apartment,CE,Nordeste,Fortaleza,Zona Oeste,FipeZAP,9350.0,109,3,3,28,1,6.7,838.73,20,11.25,1128775.62
house,AP,Norte,Macapá,Região Residencial,estimated_regional_proxy,5400.0,286,5,5,0,1,8.2,936.03,37,5.48,1683324.05
apartment,RJ,Sudeste,Rio de Janeiro,Região Comercial,FipeZAP,10939.0,89,3,2,33,1,8.5,1195.05,39,4.6,1081865.86
apartment,GO,Centro-Oeste,Goiânia,Zona Sul,FipeZAP,8226.0,126,2,3,17,0,8.6,1452.97,16,2.64,1328711.17
apartment,SP,Sudeste,São Paulo,Área Universitária,FipeZAP,12019.0,183,4,3,23,1,7.3,1752.33,24,5.37,2328693.91
apartment,TO,Norte,Palmas,Zona Sul,estimated_regional_proxy,5900.0,131,2,1,32,1,9.3,1641.05,27,5.69,1029700.42
house,RS,Sul,Porto Alegre,Zona Oeste,FipeZAP,7579.0,81,3,4,0,2,7.9,386.98,19,17.13,819656.67
apartment,RO,Norte,Porto Velho,Zona Oeste,estimated_regional_proxy,5600.0,207,3,3,33,2,8.0,2525.96,34,13.05,1226826.87
apartment,PR,Sul,Curitiba,Região Residencial,FipeZAP,11694.0,113,4,3,12,1,6.4,769.62,26,15.01,1435128.62
apartment,MS,Centro-Oeste,Campo Grande,Zona Leste,FipeZAP,6839.0,43,1,1,4,2,5.5,611.57,17,21.72,269761.12
house,SP,Sudeste,São Paulo,Região Residencial,FipeZAP,12019.0,292,4,4,0,2,8.0,957.16,7,11.32,3382078.11
apartment,ES,Sudeste,Vitória,Área Nobre,FipeZAP,14818.0,117,3,4,10,2,9.3,1229.46,24,1.09,2677953.36
apartment,SC,Sul,Florianópolis,Zona Oeste,FipeZAP,13208.0,128,2,3,4,3,8.3,1461.34,13,15.15,1875217.2
apartment,AM,Norte,Manaus,Área Nobre,FipeZAP,7513.0,199,4,3,9,2,9.8,2993.45,23,3.57,2201486.2
