area_m2,bedrooms,bathrooms,floor,parking_spaces,neighborhood_score,condo_fee,age_years,distance_to_center_km
266,4,1,22,0,9.52,1787.21,18,12.9
157,4,3,12,3,7.3,1527.44,17,13.9
237,3,2,31,3,6.2,2516.42,32,6.13
70,2,2,18,1,7.46,2493.37,22,1.94
78,4,4,22,1,7.35,1423.59,17,17.48
236,2,2,18,0,10.0,1730.22,29,1.68
253,4,1,19,1,7.15,1360.07,30,19.0
179,4,3,34,2,7.38,909.44,16,6.53
228,3,4,18,2,9.33,2115.0,27,6.25
138,3,3,23,3,9.24,2029.62,17,7.44
222,4,2,14,3,7.84,614.24,5,1.72
174,4,1,9,2,9.49,2353.37,6,14.64
133,2,2,5,0,6.06,2592.65,34,13.28
89,3,3,14,0,8.9,1386.67,12,3.67
106,3,2,20,0,6.32,1162.03,21,3.49
259,2,3,3,1,6.68,912.58,17,13.94
163,4,2,33,0,9.85,2291.52,29,18.67
277,2,1,12,2,9.95,870.75,14,7.11
144,3,3,33,2,8.54,2449.84,23,16.06
82,3,4,28,1,7.79,1208.62,19,10.85
123,2,4,3,2,9.49,878.09,34,2.21
145,4,1,14,0,7.66,2791.78,34,0.87
217,3,4,4,1,8.2,2457.92,14,15.67
223,2,1,28,1,6.44,1244.28,3,16.9
224,2,4,11,1,8.07,948.15,15,10.75
135,3,3,11,1,6.54,2035.53,16,11.7
149,4,1,27,3,7.28,1858.13,26,9.75
189,3,4,21,0,6.99,2391.02,0,4.69
197,3,4,0,1,8.93,1868.34,12,12.89
157,4,3,2,2,8.6,1377.77,4,7.91
109,4,2,0,0,9.35,1419.19,15,3.95
232,2,3,4,3,9.56,1134.28,9,7.86
179,4,4,15,1,6.44,928.28,11,12.23
271,4,1,14,0,9.96,1235.14,33,1.12
268,4,1,12,3,9.41,2051.03,2,19.26
256,2,3,32,3,7.41,2791.17,29,8.8
271,4,4,19,1,8.28,2500.64,28,10.01
200,4,3,24,1,6.29,894.72,0,10.0
132,2,1,6,0,6.85,2289.89,23,4.73
103,4,1,7,1,7.27,707.83,25,9.9
92,4,3,8,0,8.04,2518.88,30,8.03
268,4,4,10,2,6.36,1044.43,3,6.87
126,4,3,25,1,9.96,1563.03,1,12.67
74,2,1,1,0,9.62,756.45,18,12.79
77,3,2,2,1,7.55,1604.48,4,9.62
132,4,2,22,1,9.29,2701.29,13,17.27
275,2,1,4,3,8.02,2478.09,0,10.8
129,2,2,33,3,6.97,1330.81,28,16.07
91,2,1,0,3,8.19,627.59,11,10.87
211,3,3,22,1,6.54,1867.15,17,9.32
82,2,3,13,2,8.54,2140.76,8,15.84
172,2,4,26,3,9.37,2574.12,26,11.14
88,4,1,31,1,6.17,2215.9,16,18.72
89,3,4,13,1,6.34,2536.77,25,14.73
145,4,4,21,0,7.03,2176.68,30,17.52
72,2,1,27,0,6.65,1287.0,31,13.71
248,2,4,16,0,6.37,2741.0,26,13.69
196,4,1,17,2,9.02,1069.26,23,8.11
266,4,2,13,1,6.97,1523.47,6,16.28
173,2,2,24,3,9.0,1897.58,22,17.94
186,2,4,33,2,7.16,1852.74,16,6.89
196,3,2,9,3,7.78,2043.58,12,2.72
167,3,4,9,1,8.95,1777.65,15,0.93
188,4,3,24,0,9.65,706.79,18,3.71
190,2,3,13,2,7.84,2347.56,1,7.58
256,2,3,8,0,7.39,2082.97,4,3.19
133,2,2,2,0,8.64,745.79,9,6.11
262,3,2,11,1,6.99,1970.76,27,12.7
106,3,2,17,1,6.94,949.99,25,2.86
109,3,3,9,1,6.59,1637.41,1,10.78
123,2,1,25,3,7.14,1500.15,30,17.49
267,4,2,15,0,8.24,835.85,4,3.7
121,4,2,11,3,8.53,1373.72,28,0.71
235,4,4,7,0,9.73,1117.54,14,13.71
192,4,4,14,3,7.15,2178.07,25,1.17
204,4,3,21,2,8.99,527.59,15,14.23
86,2,1,20,3,8.52,1163.98,27,12.81
208,4,4,22,1,9.79,467.04,34,1.69
84,3,4,13,2,9.86,1928.04,0,14.25
184,3,4,7,3,7.88,2603.34,22,14.71
235,2,3,34,1,7.62,1685.96,31,10.58
262,3,3,27,2,9.35,2625.06,15,19.94
277,3,2,31,3,6.09,1853.75,7,4.25
118,2,3,23,0,8.95,2380.85,33,16.41
231,3,3,28,2,9.36,1610.66,5,13.2
195,2,4,33,2,9.56,2472.04,33,1.63
224,3,1,10,0,6.08,639.48,8,16.23
240,4,3,30,0,8.45,1563.92,19,11.41
169,4,3,20,3,7.62,1091.43,8,5.42
98,2,4,33,1,6.28,1024.27,10,18.79
235,3,4,33,1,9.18,1787.83,1,12.95
199,4,2,32,1,7.64,684.76,14,8.34
98,4,3,32,1,8.3,2581.66,7,15.95
154,2,2,31,0,7.46,1178.78,32,11.23
100,2,1,23,1,7.2,577.61,31,14.12
230,2,1,34,3,9.21,959.49,23,18.06
140,4,1,32,3,9.31,1270.02,27,18.65
84,2,4,33,1,6.59,1367.67,9,3.21
129,3,2,18,0,8.03,429.74,26,11.92
197,3,1,12,2,6.56,851.11,17,8.04
194,2,2,5,2,6.47,1682.25,3,9.51
249,2,4,4,1,6.5,1044.18,24,1.36
145,3,3,23,2,9.15,1254.81,9,3.06
201,3,2,32,2,9.14,2019.94,14,16.66
268,2,2,22,1,7.79,2190.31,2,15.68
137,4,4,10,3,6.72,1691.12,20,3.69
76,2,2,6,3,6.1,1407.31,8,14.3
207,3,1,30,0,6.31,1420.79,34,10.26
196,2,3,1,0,9.67,1111.82,4,18.02
141,3,1,34,1,7.31,2777.7,4,8.14
188,2,3,6,2,6.48,706.52,22,6.5
210,4,4,21,2,9.71,2320.15,23,1.01
241,2,3,29,1,9.7,1116.53,24,5.3
96,2,2,10,0,7.74,2469.13,30,0.66
168,4,3,2,1,7.32,2644.81,4,9.77
128,3,2,23,2,6.92,1897.56,18,6.32
140,4,3,31,3,8.32,2406.29,15,8.61
76,4,1,29,3,6.93,2468.05,17,3.86
158,4,4,14,1,6.98,1173.59,0,10.82
87,3,1,5,3,9.72,621.24,11,13.11
264,2,2,6,0,6.24,2705.5,26,7.38
186,3,4,30,2,6.76,2171.28,18,5.5
158,4,3,18,1,6.31,2494.88,16,14.09
118,3,3,25,0,6.15,419.79,26,16.28
267,3,3,28,1,6.4,2259.33,34,8.0
178,2,4,32,0,9.68,2259.82,26,14.31
277,3,1,9,1,9.79,2181.22,20,19.07
208,4,2,12,3,9.92,2788.4,22,13.22
278,4,3,21,0,7.37,2624.15,30,16.63
255,4,2,31,2,9.9,2534.81,21,19.73
225,3,2,29,1,9.69,1273.39,25,10.22
144,4,4,6,3,7.29,819.55,28,19.52
233,2,4,30,2,8.35,1470.74,27,3.63
136,3,4,25,1,8.54,434.66,3,11.4
250,2,1,28,1,6.71,1863.52,1,9.83
135,3,3,32,0,9.08,1191.0,19,10.14
86,4,1,1,2,8.45,412.99,4,1.0
94,4,3,19,2,7.28,2660.89,34,19.65
165,3,1,1,1,8.95,1411.47,19,3.0
209,4,1,5,2,7.81,2467.22,11,2.66
130,3,3,11,0,6.52,1720.75,17,16.02
242,4,2,33,0,7.68,1316.64,27,16.86
123,2,4,22,3,6.47,919.46,10,8.19
169,2,3,20,1,7.64,2123.86,15,11.99
140,3,1,2,1,7.01,872.94,31,16.07
187,4,2,9,2,6.29,2645.03,10,18.64
109,2,4,0,2,6.57,2400.55,20,3.42
271,4,2,32,0,6.41,1714.85,13,14.44
264,3,3,14,2,8.98,2151.22,4,10.11
216,4,3,28,1,9.48,954.75,28,18.53
181,4,2,1,1,7.03,1582.34,11,10.81
226,2,1,32,0,7.66,2185.47,21,1.83
168,4,3,18,2,9.6,1035.68,5,19.41
256,4,4,22,2,7.36,1347.11,26,18.91
83,2,2,25,1,8.49,2668.94,30,2.43
115,4,1,7,1,8.88,1451.79,12,4.16
165,2,3,16,1,8.39,685.38,0,2.29
206,2,3,20,2,9.95,1216.74,10,10.0
218,2,3,27,0,6.25,923.63,30,2.9
220,3,2,17,1,6.43,403.65,6,17.14
267,4,1,20,2,9.95,2707.69,6,7.58
246,2,3,17,1,8.26,1389.02,34,13.35
262,2,3,11,2,7.49,1488.35,7,11.66
142,4,2,0,0,9.77,489.52,12,18.93
216,2,3,28,3,9.64,1267.8,12,17.03
214,3,2,9,1,9.53,622.3,27,15.71
197,3,1,13,0,6.11,544.9,19,0.79
196,3,3,9,3,7.63,1740.65,13,8.56
180,2,2,24,1,9.33,2561.2,30,13.42
155,4,4,3,3,7.69,1006.32,19,9.05
98,2,2,16,2,8.76,1673.72,25,2.57
91,4,3,13,2,9.29,1417.66,30,4.35
70,3,1,21,1,8.7,1914.8,21,13.24
144,2,1,15,3,7.12,2607.66,7,0.9
148,4,4,7,3,8.87,770.55,23,10.59
272,4,1,24,0,9.77,1844.85,19,8.2
120,2,1,27,3,7.71,2501.09,2,2.55
115,3,1,18,3,7.24,1821.72,8,15.84
79,2,1,24,0,8.57,1186.54,29,13.2
93,2,2,15,3,6.97,558.03,34,18.28
208,2,4,19,0,7.34,1695.15,27,14.42
147,3,1,5,2,7.49,1641.62,32,17.06
200,4,4,20,0,9.35,1341.55,11,15.2
91,3,4,8,3,8.98,1218.54,16,6.38
230,3,2,30,1,9.43,592.51,11,12.6
126,4,2,11,0,6.01,1239.14,9,15.39
82,2,1,6,3,6.73,1744.94,0,13.57
262,4,2,5,0,9.65,2694.04,21,3.02
145,2,3,0,3,8.39,2412.47,20,14.59
136,2,1,9,3,9.79,1203.33,30,19.68
80,2,4,8,0,7.55,2442.13,22,9.83
193,3,2,14,1,6.81,1429.42,22,14.1
128,4,3,0,0,8.58,1142.62,16,4.21
120,4,3,8,3,6.83,1538.99,29,5.91
211,2,3,30,0,7.13,1217.69,11,16.58
210,3,2,8,1,7.64,1129.89,29,6.1
100,4,4,31,3,9.02,2352.69,20,9.43
96,4,1,27,1,8.17,1778.58,5,3.04
120,2,3,2,3,8.26,2736.07,27,11.87
235,3,3,12,3,7.95,1977.85,16,10.79
125,3,4,1,1,9.8,2730.87,6,12.62
158,2,4,13,1,9.99,1666.84,8,6.71
96,4,4,14,1,8.0,1768.09,19,10.05
108,3,1,27,0,8.16,2776.36,1,2.71
209,3,2,12,2,6.03,2484.58,20,17.53
229,3,1,26,1,9.05,1117.1,3,9.16
251,2,1,18,2,8.8,1311.82,25,3.2
186,4,4,25,0,6.31,2241.53,33,12.51
128,3,4,11,1,6.52,1679.64,26,15.58
162,3,2,20,3,6.23,495.4,29,10.74
102,3,4,1,3,7.72,2758.33,27,16.1
120,2,1,2,3,8.27,1634.56,31,2.81
171,3,4,25,2,6.32,931.63,6,18.89
234,4,1,30,0,9.8,2060.99,5,3.07
124,4,3,2,2,6.21,2346.23,8,9.89
146,3,4,21,1,6.62,1230.62,9,14.4
77,4,2,4,0,9.16,2105.39,0,11.44
79,3,3,32,3,8.62,1037.02,9,8.32
184,2,4,2,2,9.4,2318.42,24,17.86
272,4,3,6,0,9.63,1528.73,15,3.0
190,4,2,28,0,9.93,1127.86,33,15.1
76,4,1,4,0,8.43,432.26,29,3.9
190,2,3,5,2,8.3,1216.66,23,2.55
95,4,4,31,0,6.06,586.31,19,3.74
215,2,2,2,1,7.89,1316.05,7,13.93
167,4,2,11,3,7.13,1774.68,20,1.43
146,2,1,30,0,6.25,2081.63,14,11.91
113,4,2,33,1,8.48,1335.83,29,13.33
106,3,3,4,1,6.18,1837.83,25,11.82
140,4,4,26,0,8.52,1577.64,13,6.27
164,4,4,32,3,9.85,2239.45,33,3.85
189,3,4,7,0,7.67,1810.58,30,8.13
214,3,3,18,2,8.62,1450.81,32,19.63
271,3,1,21,0,6.04,1932.42,34,5.55
76,3,1,12,2,7.42,1098.31,7,12.37
266,2,3,11,2,6.44,2581.18,17,3.57
187,3,3,12,3,7.02,2568.1,22,2.48
85,2,2,28,0,6.1,960.24,23,9.54
252,2,3,0,2,7.97,2094.56,32,12.49
249,3,4,22,2,9.11,713.92,27,6.05
130,3,3,18,3,8.93,1927.39,6,18.43
105,2,2,25,3,9.94,2792.36,7,18.43
133,4,4,25,3,9.61,2001.18,8,2.23
240,2,2,10,2,8.83,1662.41,12,16.37
262,3,1,15,2,9.04,1227.28,3,3.45
132,4,3,0,0,8.33,2778.65,1,7.76
169,2,3,16,0,6.07,1306.43,23,14.67
220,4,4,14,0,9.06,1319.96,33,8.23
107,3,1,28,3,8.46,1597.71,34,14.97
220,2,3,25,1,9.73,2223.79,16,12.2
117,4,4,13,0,6.75,656.99,7,17.77
248,2,3,31,1,9.73,1045.36,17,2.7
98,2,4,17,0,6.65,1787.47,26,18.46
275,3,1,10,0,6.26,850.34,2,16.54
221,2,1,22,1,8.53,1666.55,2,13.69
127,3,2,16,0,7.3,1952.65,30,15.28
239,2,4,33,0,8.13,972.8,28,13.08
201,3,4,30,3,7.51,1057.19,12,0.62
169,4,3,0,2,6.72,1958.43,30,4.28
225,2,1,8,2,9.43,1434.96,7,9.94
214,3,4,14,2,9.21,1298.48,10,4.69
86,4,4,23,2,7.15,2629.42,14,7.1
118,2,2,21,3,7.34,1898.77,29,2.66
209,2,4,30,1,9.06,931.26,15,11.15
155,3,1,5,3,7.82,926.02,4,8.79
137,3,3,22,0,8.8,1822.52,21,14.51
184,2,3,31,1,9.67,1772.0,1,3.9
103,3,2,4,2,9.35,820.54,17,3.55
276,4,1,23,2,8.39,647.09,33,2.77
185,3,4,22,1,9.15,1101.35,9,18.05
71,2,4,1,2,6.74,2582.25,0,14.2
166,4,4,1,1,9.37,2300.1,4,17.59
226,2,2,1,3,7.0,2559.0,34,3.91
191,2,3,9,3,7.69,1990.57,4,6.27
177,4,4,24,2,8.44,2345.04,9,15.05
204,2,1,30,3,7.3,2746.04,20,5.95
75,4,4,23,1,9.31,2297.03,25,7.09
174,2,3,24,3,8.38,1019.1,25,8.58
154,2,2,13,1,9.8,540.1,24,9.78
260,4,4,7,3,7.12,2297.13,3,3.22
192,3,3,19,3,8.8,2675.35,30,18.83
107,3,1,24,2,6.62,1168.1,19,12.32
249,2,3,30,3,6.69,1932.99,22,18.03
130,4,2,20,1,8.06,930.04,27,12.26
279,3,2,34,1,9.6,1926.41,0,3.27
144,2,2,28,3,7.89,571.2,1,19.63
248,4,3,33,2,8.23,710.37,5,15.08
232,3,4,23,2,9.8,2389.3,27,17.17
221,2,2,8,2,6.81,1877.13,30,13.78
206,4,1,28,0,9.37,2126.48,7,0.93
74,3,3,22,0,9.06,1288.72,5,19.13
113,3,3,25,3,8.67,2479.05,27,1.59
253,4,1,9,2,7.52,1111.74,29,1.62
226,3,3,2,3,9.46,729.48,21,7.53
167,2,2,33,0,9.88,794.69,32,7.16
232,4,3,16,1,7.54,736.9,22,10.82
207,2,1,20,2,7.67,2076.54,16,12.43
231,3,1,2,1,8.94,2783.74,4,16.54
181,3,1,30,3,8.1,1667.93,14,19.67
86,4,4,10,1,6.83,1042.72,30,15.83
155,2,3,0,3,9.56,456.94,26,18.41
114,2,1,9,2,8.7,2282.0,13,19.08
251,3,1,5,3,7.76,832.07,32,12.79
258,3,4,16,1,7.65,2080.68,13,6.19
112,2,2,23,2,8.52,1055.83,1,3.63
254,3,1,11,0,7.24,2262.69,30,2.0
139,2,3,6,1,8.48,1901.48,29,13.16
113,4,3,8,3,6.47,1456.07,9,18.49
127,4,2,5,0,7.57,1033.68,18,14.29
185,2,2,30,2,9.23,1813.31,29,11.81
120,3,1,18,0,6.56,2065.84,4,17.94
125,4,2,1,3,8.8,485.8,7,13.58
216,3,4,14,1,8.86,1134.9,1,9.84
157,4,4,16,2,8.96,2216.99,32,16.59
216,4,1,24,3,6.13,1042.7,4,15.6
74,4,2,22,1,9.31,2144.93,10,18.59
90,3,2,25,2,7.04,1376.21,29,16.27
129,3,3,6,3,6.69,2043.39,30,6.82
146,2,2,0,2,6.42,2615.6,21,18.91
126,3,3,16,0,8.39,800.74,1,10.25
153,4,3,11,1,8.87,2618.11,33,1.09
263,4,1,11,3,8.55,2535.67,17,14.36
166,3,1,31,0,9.69,1623.08,0,9.25
193,2,3,30,1,7.54,508.76,26,10.22
235,4,4,27,1,6.41,2339.88,14,15.87
107,2,4,1,1,7.17,1817.86,10,11.68
100,2,3,7,0,6.79,1152.37,1,7.74
159,4,2,2,2,8.88,501.95,2,4.13
200,4,1,9,0,9.09,1328.05,32,12.91
173,4,4,16,1,7.92,576.91,13,12.2
95,4,1,10,1,7.05,1475.09,14,0.9
203,4,1,24,1,7.82,556.0,19,7.09
264,2,2,3,0,8.68,1991.68,15,15.79
181,3,3,30,1,6.68,1896.02,1,18.24
258,3,3,4,2,8.1,955.84,27,13.77
158,4,1,17,0,6.95,1911.92,6,15.82
154,3,1,20,3,9.07,819.71,20,9.35
135,4,1,33,2,8.1,706.59,20,4.93
179,2,2,0,3,7.95,1261.58,5,8.21
190,2,3,23,2,8.06,834.22,20,7.33
92,4,1,30,3,7.38,1517.89,6,14.51
274,4,1,33,1,9.42,1760.61,24,10.29
102,2,3,27,0,6.09,1511.67,25,13.89
186,4,4,29,1,7.07,1693.28,10,15.42
135,4,3,0,3,7.25,2434.63,23,8.79
256,3,3,31,0,6.73,2773.09,19,2.66
205,3,2,11,2,8.75,576.11,10,16.8
73,2,2,1,1,6.1,1870.22,24,17.35
75,2,3,0,2,8.44,451.55,2,6.28
112,3,3,30,2,8.96,1651.09,22,8.62
242,4,4,13,0,7.1,1364.35,10,11.94
251,4,1,23,1,7.1,420.64,25,1.62
185,2,1,18,1,7.82,2640.98,9,6.78
189,3,3,4,0,7.35,1339.89,2,17.29
205,2,4,32,0,7.08,1621.02,34,9.09
172,4,4,2,0,8.59,2233.3,22,14.57
177,3,3,1,0,7.1,1816.12,23,4.83
147,4,4,4,1,8.78,2468.28,6,19.86
173,3,4,15,1,7.47,554.61,17,17.11
132,4,1,17,1,9.37,468.3,13,12.2
227,2,4,27,3,9.79,841.87,6,18.56
212,4,1,2,1,8.95,1906.34,16,18.48
220,3,2,34,0,7.4,1887.31,14,12.93
146,2,3,14,2,8.41,838.86,4,15.66
153,3,2,31,3,9.11,532.76,29,17.54
161,3,2,5,1,7.45,1688.8,5,15.89
196,2,1,12,0,8.18,2566.26,18,15.19
233,4,4,1,1,6.5,843.81,3,10.56
71,4,1,16,2,7.95,1427.64,34,12.69
268,3,3,3,1,7.65,2406.26,9,9.44
251,2,1,15,2,7.11,2357.71,29,8.48
278,2,3,3,2,6.91,1881.5,25,9.77
128,4,3,15,0,6.48,2192.74,4,5.01
171,2,4,31,0,6.36,1437.39,10,1.17
184,3,1,0,2,6.09,2198.87,29,11.03
99,2,4,23,2,6.45,711.7,19,12.28
145,2,2,19,1,9.89,676.23,13,16.22
75,3,2,22,3,6.7,1733.35,31,14.73
95,2,4,4,2,7.55,2342.21,23,7.14
173,4,3,34,1,9.96,2582.27,6,12.0
136,4,4,25,0,7.61,1504.4,14,4.58
86,3,1,19,0,9.47,1705.34,10,4.35
245,4,4,5,1,7.05,2778.2,31,10.22
94,4,4,32,2,9.83,2565.19,20,17.44
118,3,1,7,2,7.77,1594.62,31,11.06
119,2,4,22,2,8.66,1148.08,0,1.08
178,2,3,6,1,7.28,1033.31,6,17.85
278,4,1,15,3,6.83,1228.85,22,7.42
75,3,3,0,0,6.79,529.64,21,6.33
104,4,2,24,0,6.95,738.29,4,15.99
139,3,1,29,1,8.2,1614.37,3,15.05
93,3,4,15,2,8.25,1445.14,33,2.56
71,4,2,28,2,8.79,1110.04,13,12.26
262,3,3,6,1,7.6,1562.65,32,13.69
116,3,2,1,0,6.54,1153.72,25,18.32
200,4,2,1,0,8.48,2734.16,12,11.33
255,2,3,1,3,6.44,661.29,17,6.95
225,2,2,32,2,9.78,1068.72,15,7.55
78,4,3,19,0,9.04,2425.21,30,6.68
144,4,3,12,2,8.29,1389.45,23,2.2
80,4,3,8,3,6.44,989.33,27,6.26
266,4,3,29,3,7.88,2382.98,19,5.49
167,2,4,15,2,6.61,2538.07,25,15.09
274,4,1,15,1,9.92,683.52,33,17.33
154,2,1,9,0,7.67,2633.88,19,18.0
187,4,2,2,1,8.63,1309.56,30,6.8
83,4,3,20,1,6.46,2369.56,16,9.06
277,3,4,19,1,7.71,2405.0,29,4.28
250,3,2,28,2,6.66,1132.2,34,19.95
176,4,4,3,1,8.31,1588.51,16,13.87
118,3,1,30,2,9.93,1235.22,24,17.04
162,3,3,25,1,7.75,1574.94,18,18.57
161,2,3,25,0,8.83,1026.4,31,9.53
234,2,4,13,0,6.36,1107.18,5,10.95
132,2,1,16,1,7.0,547.29,26,8.85
205,4,3,27,3,6.5,683.15,29,18.71
240,4,3,13,3,6.72,2327.42,11,13.92
112,2,4,3,3,6.65,1471.96,14,3.15
233,3,4,11,3,8.58,1050.97,32,12.57
178,2,2,0,3,7.85,593.09,24,2.42
112,3,3,5,3,8.31,1718.68,24,5.59
73,4,1,4,1,8.45,2052.55,10,17.2
255,3,1,26,0,7.34,1071.28,3,13.38
253,4,1,32,1,9.41,1278.45,30,17.74
83,2,3,12,1,8.08,1831.27,3,2.68
183,2,3,9,2,9.5,1944.25,18,18.67
89,4,4,27,2,9.17,746.44,33,8.83
79,4,1,20,3,8.81,1501.18,18,6.46
82,3,4,12,1,8.03,1658.63,21,19.74
266,4,4,13,3,9.33,1373.86,17,2.5
176,3,1,33,0,8.73,2139.07,7,1.23
279,4,1,7,0,8.99,1886.3,0,4.91
232,2,4,17,2,6.25,1686.9,13,16.46
224,3,4,5,3,7.59,1746.89,22,13.0
92,4,4,23,3,8.63,2570.98,24,17.48
160,3,2,20,1,6.28,993.75,12,14.38
188,2,4,8,1,8.03,2387.7,12,19.36
194,2,1,16,0,8.16,1492.39,20,17.93
99,3,4,3,0,7.04,1192.14,27,10.6
72,3,2,33,1,7.17,2186.39,26,16.17
198,3,1,29,3,8.91,2442.74,19,16.41
92,3,1,29,3,6.32,1831.33,13,2.97
266,4,3,11,3,6.04,2627.47,18,14.25
139,2,1,28,1,9.73,996.96,4,9.73
264,4,1,9,2,8.85,557.51,28,2.65
156,2,1,2,2,8.23,1793.3,19,8.89
